Unnamed: 0,DEPTH,DT,GR,NPHI,RHOB,COT
524,4013.0,108.688,27.988,32.883,2.26,
525,4013.2,99.25,28.597,34.063,2.23,
526,4013.4,88.438,27.266,33.266,2.237,
527,4013.6,78.5,24.637,29.438,2.307,
528,4013.8,73.879,23.898,22.813,2.351,
529,4014.0,76.125,25.992,17.438,2.345,
530,4014.2,77.891,29.313,17.734,2.344,
531,4014.4,75.973,30.566,20.633,2.344,
532,4014.6,75.656,29.273,20.938,2.345,
533,4014.8,78.25,28.455,21.176,2.356,
534,4015.0,82.375,29.668,23.105,2.346,
535,4015.2,85.674,30.982,25.16,2.283,
536,4015.4,83.375,30.109,27.402,2.218,
537,4015.6,77.75,28.027,28.719,2.191,
538,4015.8,71.789,25.984,25.813,2.242,
539,4016.0,70.875,24.738,22.824,2.331,
540,4016.2,76.938,25.199,24.813,2.379,
541,4016.4,86.625,26.328,29.0,2.361,
542,4016.6,95.75,26.673,31.555,2.316,
543,4016.8,98.234,26.751,32.637,2.278,
544,4017.0,93.625,26.469,31.367,2.262,
545,4017.2,84.875,26.75,26.375,2.348,
546,4017.4,73.621,31.75,18.594,2.507,
547,4017.6,71.438,36.625,17.684,2.538,
548,4017.8,68.629,40.5,15.957,2.582,
549,4018.0,65.719,40.973,12.82,2.622,
550,4018.2,64.609,39.145,11.117,2.632,
551,4018.4,64.734,37.676,10.605,2.63,
552,4018.6,66.008,37.977,10.344,2.626,
553,4018.8,68.105,38.594,10.953,2.624,
554,4019.0,70.75,38.709,12.672,2.618,
555,4019.2,72.988,38.398,14.5,2.603,
556,4019.4,73.313,37.813,14.809,2.599,
557,4019.6,72.078,37.473,13.84,2.605,
558,4019.8,70.43,37.125,12.492,2.609,
559,4020.0,68.699,36.145,11.02,2.616,
560,4020.2,66.754,34.422,9.582,2.638,
561,4020.4,64.816,32.223,8.027,2.654,
562,4020.6,63.18,29.91,6.844,2.657,
563,4020.8,62.789,28.93,6.969,2.646,
564,4021.0,63.598,29.66,7.398,2.632,
565,4021.2,64.355,30.641,7.62,2.627,
566,4021.4,64.891,31.035,7.996,2.622,
567,4021.6,65.231,30.648,8.629,2.609,
568,4021.8,65.086,29.418,9.078,2.607,
569,4022.0,64.738,27.672,9.328,2.609,
570,4022.2,64.334,26.837,9.902,2.59,
571,4022.4,64.809,26.98,11.109,2.544,
572,4022.6,68.063,27.363,12.926,2.474,
573,4022.8,73.375,27.875,15.844,2.395,
574,4023.0,76.238,29.344,19.199,2.355,
575,4023.2,76.473,30.938,20.93,2.356,
576,4023.4,78.23,31.418,21.218,2.352,
577,4023.6,81.5,28.898,22.953,2.311,
578,4023.8,84.879,26.195,25.973,2.318,
579,4024.0,85.609,23.883,28.289,2.305,
580,4024.2,80.563,22.313,27.313,2.287,
581,4024.4,74.125,21.783,23.0,2.293,
582,4024.6,72.406,22.082,19.75,2.28,
583,4024.8,75.625,22.668,19.531,2.251,
584,4025.0,81.188,23.371,21.75,2.225,
585,4025.2,85.238,24.348,25.375,2.218,
586,4025.4,85.461,25.879,28.301,2.225,
587,4025.6,82.5,27.016,29.116,2.22,
588,4025.8,87.0,26.438,28.798,2.189,
589,4026.0,100.188,23.625,28.719,2.177,
590,4026.2,108.438,20.422,29.449,2.168,
591,4026.4,106.563,18.539,31.238,2.144,
592,4026.6,94.188,18.504,30.313,2.184,
593,4026.8,79.375,18.906,24.375,2.262,
594,4027.0,70.438,18.625,16.5,2.295,
595,4027.2,66.574,18.222,12.381,2.342,
596,4027.4,65.547,18.52,12.375,2.432,
597,4027.6,66.754,19.684,12.227,2.486,
598,4027.8,69.105,22.563,12.484,2.477,
599,4028.0,70.398,26.813,14.793,2.423,
600,4028.2,69.344,30.75,16.18,2.4,
601,4028.4,66.871,33.727,14.859,2.448,
602,4028.6,65.703,35.128,13.453,2.51,
603,4028.8,67.875,35.247,14.32,2.524,
604,4029.0,71.313,36.168,16.375,2.536,
605,4029.2,74.25,39.25,17.848,2.566,
606,4029.4,75.871,43.75,17.883,2.58,
607,4029.6,77.52,46.406,17.684,2.546,
608,4029.8,78.938,45.895,18.004,2.503,
609,4030.0,78.887,44.605,18.797,2.483,
610,4030.2,77.762,43.609,20.457,2.47,
611,4030.4,76.951,43.328,21.332,2.455,
612,4030.6,78.34,43.008,21.566,2.429,
613,4030.8,81.016,42.258,21.92,2.404,
614,4031.0,81.086,40.117,21.96,2.368,
615,4031.2,78.84,36.5,22.48,2.323,
616,4031.4,82.375,32.125,25.688,2.249,
617,4031.6,90.5,26.875,30.465,2.134,
618,4031.8,94.344,22.449,31.324,2.084,
619,4032.0,92.313,20.363,28.125,2.109,
620,4032.2,88.656,19.617,24.504,2.144,
621,4032.4,86.379,19.563,21.965,2.201,
622,4032.6,82.313,20.25,21.359,2.27,
623,4032.8,78.695,21.422,21.117,2.328,
624,4033.0,75.313,21.946,17.125,2.443,
625,4033.2,70.25,22.145,11.875,2.591,
626,4033.4,65.25,22.816,10.203,2.657,
627,4033.6,63.992,24.488,11.016,2.656,
628,4033.8,65.324,26.762,11.945,2.663,
629,4034.0,66.031,28.082,12.192,2.673,
630,4034.2,66.047,28.504,11.973,2.669,
631,4034.4,66.01,28.578,11.85,2.662,
632,4034.6,66.195,28.168,11.676,2.652,
633,4034.8,66.152,27.148,11.23,2.65,
634,4035.0,65.492,25.98,10.516,2.651,
635,4035.2,64.598,25.121,9.547,2.647,
636,4035.4,64.145,24.516,8.68,2.652,
637,4035.6,64.535,23.902,8.266,2.666,
638,4035.8,65.375,23.613,8.723,2.672,
639,4036.0,65.885,25.48,10.93,2.663,
640,4036.2,66.133,27.379,12.102,2.671,
641,4036.4,66.512,28.719,12.129,2.675,
642,4036.6,67.07,29.328,11.375,2.674,
643,4036.8,67.129,29.816,10.766,2.673,
644,4037.0,66.262,30.262,10.488,2.683,
645,4037.2,65.113,29.723,10.469,2.694,
646,4037.4,65.023,28.858,10.953,2.677,
647,4037.6,65.734,29.324,11.832,2.646,
648,4037.8,66.613,30.383,12.316,2.624,
649,4038.0,67.426,30.852,12.699,2.618,
650,4038.2,67.969,31.009,13.125,2.624,
651,4038.4,68.324,30.77,13.336,2.634,
652,4038.6,68.723,30.051,13.254,2.643,
653,4038.8,68.855,29.48,12.879,2.634,
654,4039.0,68.203,28.789,12.133,2.63,
655,4039.2,66.656,28.285,10.98,2.649,
656,4039.4,64.977,28.129,10.139,2.67,
657,4039.6,64.578,27.5,10.535,2.667,
658,4039.8,65.438,26.559,11.508,2.648,
659,4040.0,66.527,26.219,12.027,2.634,
660,4040.2,67.039,27.383,12.324,2.628,
661,4040.4,67.19,28.879,12.59,2.631,
662,4040.6,67.095,30.574,13.047,2.641,
663,4040.8,66.777,32.73,13.77,2.642,
664,4041.0,67.855,35.105,14.75,2.631,0.16
665,4041.2,71.563,37.656,16.895,2.611,
666,4041.4,77.063,40.172,20.438,2.583,
667,4041.6,81.848,42.879,23.285,2.568,
668,4041.8,82.887,44.758,23.449,2.57,
669,4042.0,77.188,43.199,18.813,2.607,
670,4042.2,72.91,40.828,16.289,2.621,
671,4042.4,71.184,39.215,15.031,2.623,
672,4042.6,70.449,37.656,13.969,2.628,
673,4042.8,68.762,36.691,12.891,2.627,
674,4043.0,66.598,36.559,11.594,2.631,
675,4043.2,66.094,35.93,11.727,2.627,
676,4043.4,67.859,34.648,13.445,2.608,
677,4043.6,69.917,34.363,14.879,2.602,
678,4043.8,69.68,36.199,14.968,2.593,
679,4044.0,68.57,37.539,15.043,2.568,
680,4044.2,69.484,37.133,15.914,2.556,
681,4044.4,72.336,36.957,17.965,2.56,
682,4044.6,74.594,37.582,20.383,2.568,
683,4044.8,74.559,38.109,21.354,2.579,
684,4045.0,72.16,38.215,20.348,2.603,
685,4045.2,69.992,37.012,19.394,2.603,
686,4045.4,70.758,34.188,19.566,2.587,
687,4045.6,73.43,31.969,19.741,2.577,
688,4045.8,75.027,31.805,19.211,2.586,
689,4046.0,73.965,30.977,17.828,2.587,
690,4046.2,72.156,29.516,15.355,2.584,
691,4046.4,71.469,29.965,13.105,2.608,
692,4046.6,73.16,32.543,13.324,2.646,
693,4046.8,74.914,35.426,14.875,2.651,
694,4047.0,74.813,37.371,15.48,2.635,
695,4047.2,73.539,37.648,15.113,2.627,
696,4047.4,72.832,37.168,15.723,2.607,
697,4047.6,73.773,36.32,17.047,2.571,
698,4047.8,75.711,34.367,18.609,2.524,
699,4048.0,78.508,32.43,20.758,2.476,
700,4048.2,80.676,31.102,24.25,2.406,
701,4048.4,80.574,29.469,26.465,2.347,
702,4048.6,79.516,28.445,26.633,2.358,
703,4048.8,80.246,27.293,26.879,2.37,
704,4049.0,81.285,25.813,27.785,2.357,
705,4049.2,82.828,24.547,29.148,2.325,
706,4049.4,86.09,23.484,29.777,2.294,
707,4049.6,88.875,22.813,29.803,2.281,
708,4049.8,91.855,22.879,30.121,2.271,
709,4050.0,93.86,23.199,30.564,2.275,
710,4050.2,92.875,22.273,30.246,2.274,
711,4050.4,87.375,20.625,29.301,2.269,
712,4050.6,79.938,19.777,27.063,2.328,
713,4050.8,74.258,20.391,22.438,2.442,
714,4051.0,72.531,23.5,18.859,2.5,
715,4051.2,72.027,27.75,17.531,2.517,
716,4051.4,71.909,31.078,16.906,2.531,
717,4051.6,72.134,33.586,16.805,2.537,
718,4051.8,71.859,34.493,16.285,2.545,
719,4052.0,70.602,33.379,15.176,2.563,
720,4052.2,68.418,30.813,13.852,2.568,
721,4052.4,66.559,28.0,13.496,2.571,
